attraction_id,name,location,description,opening_hours,category,price
1,Attr1,City1,Attraction number 1 in category Nature,09:00:00,Nature,30.75
2,Attr2,City2,Attraction number 2 in category Food,10:00:00,Food,31.5
3,Attr3,City3,Attraction number 3 in category Tour,11:00:00,Tour,32.25
4,Attr4,City4,Attraction number 4 in category Water,12:00:00,Water,33.0
5,Attr5,City5,Attraction number 5 in category History,13:00:00,History,33.75
6,Attr6,City6,Attraction number 6 in category Culture,08:00:00,Culture,34.5
7,Attr7,City7,Attraction number 7 in category Adventure,09:00:00,Adventure,35.25
8,Attr8,City8,Attraction number 8 in category Museum,10:00:00,Museum,36.0
9,Attr9,City9,Attraction number 9 in category Nature,11:00:00,Nature,36.75
10,Attr10,City10,Attraction number 10 in category Food,12:00:00,Food,37.5
11,Attr11,City11,Attraction number 11 in category Tour,13:00:00,Tour,38.25
12,Attr12,City12,Attraction number 12 in category Water,08:00:00,Water,39.0
13,Attr13,City13,Attraction number 13 in category History,09:00:00,History,39.75
14,Attr14,City14,Attraction number 14 in category Culture,10:00:00,Culture,40.5
15,Attr15,City15,Attraction number 15 in category Adventure,11:00:00,Adventure,41.25
16,Attr16,City16,Attraction number 16 in category Museum,12:00:00,Museum,42.0
17,Attr17,City17,Attraction number 17 in category Nature,13:00:00,Nature,42.75
18,Attr18,City18,Attraction number 18 in category Food,08:00:00,Food,43.5
19,Attr19,City19,Attraction number 19 in category Tour,09:00:00,Tour,44.25
20,Attr20,City20,Attraction number 20 in category Water,10:00:00,Water,45.0
21,Attr21,City21,Attraction number 21 in category History,11:00:00,History,45.75
22,Attr22,City22,Attraction number 22 in category Culture,12:00:00,Culture,46.5
23,Attr23,City23,Attraction number 23 in category Adventure,13:00:00,Adventure,47.25
24,Attr24,City24,Attraction number 24 in category Museum,08:00:00,Museum,48.0
25,Attr25,City25,Attraction number 25 in category Nature,09:00:00,Nature,48.75
26,Attr26,City26,Attraction number 26 in category Food,10:00:00,Food,49.5
27,Attr27,City27,Attraction number 27 in category Tour,11:00:00,Tour,50.25
28,Attr28,City28,Attraction number 28 in category Water,12:00:00,Water,51.0
29,Attr29,City29,Attraction number 29 in category History,13:00:00,History,51.75
30,Attr30,City30,Attraction number 30 in category Culture,08:00:00,Culture,52.5
31,Attr31,City31,Attraction number 31 in category Adventure,09:00:00,Adventure,53.25
32,Attr32,City32,Attraction number 32 in category Museum,10:00:00,Museum,54.0
33,Attr33,City33,Attraction number 33 in category Nature,11:00:00,Nature,54.75
34,Attr34,City34,Attraction number 34 in category Food,12:00:00,Food,55.5
35,Attr35,City35,Attraction number 35 in category Tour,13:00:00,Tour,56.25
36,Attr36,City36,Attraction number 36 in category Water,08:00:00,Water,57.0
