ticket_id,attraction_id,price,valid_date,ticket_type,available_quantity
1,1,30.75,2026-04-02,VIP,101
2,2,31.5,2026-04-03,FAMILY,102
3,3,32.25,2026-04-04,STUDENT,103
4,4,33.0,2026-04-05,REGULAR,104
5,5,33.75,2026-04-06,VIP,105
6,6,34.5,2026-04-07,FAMILY,106
7,7,35.25,2026-04-08,STUDENT,107
8,8,36.0,2026-04-09,REGULAR,108
9,9,36.75,2026-04-10,VIP,109
10,10,37.5,2026-04-11,FAMILY,110
11,11,38.25,2026-04-12,STUDENT,111
12,12,39.0,2026-04-13,REGULAR,112
13,13,39.75,2026-04-14,VIP,113
14,14,40.5,2026-04-15,FAMILY,114
15,15,41.25,2026-04-16,STUDENT,115
16,16,42.0,2026-04-17,REGULAR,116
17,17,42.75,2026-04-18,VIP,117
18,18,43.5,2026-04-19,FAMILY,118
19,19,44.25,2026-04-20,STUDENT,119
20,20,45.0,2026-04-21,REGULAR,120
21,21,45.75,2026-04-22,VIP,121
22,22,46.5,2026-04-23,FAMILY,122
23,23,47.25,2026-04-24,STUDENT,123
24,24,48.0,2026-04-25,REGULAR,124
25,25,48.75,2026-04-26,VIP,125
26,26,49.5,2026-04-27,FAMILY,126
27,27,50.25,2026-04-28,STUDENT,127
28,28,51.0,2026-04-29,REGULAR,128
29,29,51.75,2026-04-30,VIP,129
30,30,52.5,2026-05-01,FAMILY,130
31,31,53.25,2026-05-02,STUDENT,131
32,32,54.0,2026-05-03,REGULAR,132
33,33,54.75,2026-05-04,VIP,133
34,34,55.5,2026-05-05,FAMILY,134
35,35,56.25,2026-05-06,STUDENT,135
36,36,57.0,2026-05-07,REGULAR,136
37,37,57.75,2026-05-08,VIP,137
38,38,58.5,2026-05-09,FAMILY,138
39,39,59.25,2026-05-10,STUDENT,139
40,40,60.0,2026-05-11,REGULAR,140
41,41,60.75,2026-05-12,VIP,141
42,42,61.5,2026-05-13,FAMILY,142
43,43,62.25,2026-05-14,STUDENT,143
44,44,63.0,2026-05-15,REGULAR,144
45,45,63.75,2026-05-16,VIP,145
46,46,64.5,2026-05-17,FAMILY,146
47,47,65.25,2026-05-18,STUDENT,147
48,48,66.0,2026-05-19,REGULAR,148
49,49,66.75,2026-05-20,VIP,149
50,50,67.5,2026-05-21,FAMILY,150
51,51,68.25,2026-05-22,STUDENT,151
52,52,69.0,2026-05-23,REGULAR,152
53,53,69.75,2026-05-24,VIP,153
54,54,70.5,2026-05-25,FAMILY,154
55,55,71.25,2026-05-26,STUDENT,155
56,56,72.0,2026-05-27,REGULAR,156
57,57,72.75,2026-05-28,VIP,157
58,58,73.5,2026-05-29,FAMILY,158
59,59,74.25,2026-05-30,STUDENT,159
60,60,75.0,2026-04-01,REGULAR,160
61,61,75.75,2026-04-02,VIP,161
62,62,76.5,2026-04-03,FAMILY,162
63,63,77.25,2026-04-04,STUDENT,163
64,64,78.0,2026-04-05,REGULAR,164
65,65,78.75,2026-04-06,VIP,165
66,66,79.5,2026-04-07,FAMILY,166
67,67,80.25,2026-04-08,STUDENT,167
68,68,81.0,2026-04-09,REGULAR,168
69,69,81.75,2026-04-10,VIP,169
70,70,82.5,2026-04-11,FAMILY,170
71,71,83.25,2026-04-12,STUDENT,171
72,72,84.0,2026-04-13,REGULAR,172
73,73,84.75,2026-04-14,VIP,173
74,74,85.5,2026-04-15,FAMILY,174
75,75,86.25,2026-04-16,STUDENT,175
76,76,87.0,2026-04-17,REGULAR,176
77,77,87.75,2026-04-18,VIP,177
78,78,88.5,2026-04-19,FAMILY,178
79,79,89.25,2026-04-20,STUDENT,179
80,80,90.0,2026-04-21,REGULAR,180
81,81,90.75,2026-04-22,VIP,181
82,82,91.5,2026-04-23,FAMILY,182
83,83,92.25,2026-04-24,STUDENT,183
84,84,93.0,2026-04-25,REGULAR,184
85,85,93.75,2026-04-26,VIP,185
86,86,94.5,2026-04-27,FAMILY,186
87,87,95.25,2026-04-28,STUDENT,187
88,88,96.0,2026-04-29,REGULAR,188
89,89,96.75,2026-04-30,VIP,189
90,90,97.5,2026-05-01,FAMILY,190
91,91,98.25,2026-05-02,STUDENT,191
92,92,99.0,2026-05-03,REGULAR,192
93,93,99.75,2026-05-04,VIP,193
94,94,100.5,2026-05-05,FAMILY,194
95,95,101.25,2026-05-06,STUDENT,195
96,96,102.0,2026-05-07,REGULAR,196
97,97,102.75,2026-05-08,VIP,197
98,98,103.5,2026-05-09,FAMILY,198
99,99,104.25,2026-05-10,STUDENT,199
100,100,105.0,2026-05-11,REGULAR,200
101,101,105.75,2026-05-12,VIP,201
102,102,106.5,2026-05-13,FAMILY,202
103,103,107.25,2026-05-14,STUDENT,203
