booking_id,customet_id,booking_date,total_price,payment_id
1,1,4/6/2025,19.99,1
2,2,3/17/2026,5.99,2
3,3,10/27/2025,1.99,3
4,4,2/23/2026,0.99,4
5,5,11/30/2025,29.99,5
6,6,4/2/2025,12.99,6
7,7,4/20/2025,14.99,7
8,8,12/22/2025,49.99,8
9,9,11/4/2025,29.99,9
10,10,1/30/2026,3.89,10
11,11,8/29/2025,5.29,11
12,12,4/18/2025,1.99,12
13,13,10/3/2025,14.99,13
14,14,9/29/2025,29.99,14
15,15,3/18/2026,2.99,15
16,16,11/5/2025,19.99,16
17,17,7/11/2025,3.99,17
18,18,10/31/2025,2.5,18
19,19,1/19/2026,4.49,19
20,20,12/3/2025,3.59,20
21,21,8/10/2025,1.99,21
22,22,5/5/2025,4.99,22
23,23,10/16/2025,3.49,23
24,24,7/12/2025,24.99,24
25,25,10/20/2025,39.99,25
26,26,5/13/2025,1.5,26
27,27,5/30/2025,99.99,27
28,28,2/2/2026,12.99,28
29,29,6/4/2025,34.99,29
30,30,12/10/2025,39.99,30
31,31,6/29/2025,89.99,31
32,32,8/26/2025,24.99,32
33,33,2/18/2026,39.99,33
34,34,8/26/2025,39.99,34
35,35,1/6/2026,3.49,35
36,36,6/16/2025,129.99,36
37,37,10/7/2025,22.99,37
38,38,10/5/2025,3.99,38
39,39,7/10/2025,4.99,39
40,40,4/29/2025,24.99,40
41,41,5/1/2025,2.99,41
42,42,6/4/2025,15.99,42
43,43,2/13/2026,3.79,43
44,44,5/23/2025,199.99,44
45,45,3/10/2026,3.89,45
46,46,10/2/2025,24.99,46
47,47,5/26/2025,39.99,47
48,48,7/14/2025,29.99,48
49,49,1/3/2026,8.49,49
50,50,6/12/2025,15.99,50
51,51,12/25/2025,2.99,51
52,52,8/21/2025,15.99,52
53,53,8/2/2025,15.99,53
54,54,4/28/2025,29.99,54
55,55,9/6/2025,24.99,55
56,56,11/5/2025,34.99,56
57,57,5/20/2025,44.99,57
58,58,9/29/2025,3.29,58
59,59,5/17/2025,2.19,59
60,60,4/15/2025,14.99,60
61,61,5/29/2025,8.49,61
62,62,1/18/2026,29.99,62
63,63,1/11/2026,5.49,63
64,64,8/4/2025,54.99,64
65,65,1/20/2026,5.99,65
66,66,10/31/2025,59.99,66
67,67,1/11/2026,19.99,67
68,68,5/20/2025,349.99,68
69,69,3/8/2026,89.99,69
70,70,4/12/2025,3.79,70
71,71,5/5/2025,5.99,71
72,72,5/21/2025,10.99,72
73,73,11/5/2025,49.99,73
74,74,11/7/2025,3.99,74
75,75,8/18/2025,149.99,75
76,76,3/2/2026,14.99,76
77,77,8/22/2025,3.99,77
78,78,10/17/2025,24.99,78
79,79,10/9/2025,4.49,79
80,80,3/1/2026,39.99,80
81,81,3/1/2026,14.99,81
82,82,9/18/2025,49.99,82
83,83,6/5/2025,2.49,83
84,84,4/26/2025,79.99,84
85,85,7/28/2025,7.49,85
86,86,11/1/2025,4.49,86
87,87,7/30/2025,2.29,87
88,88,4/20/2025,0.89,88
89,89,1/16/2026,4.49,89
90,90,9/9/2025,49.99,90
91,91,11/12/2025,4.99,91
92,92,10/4/2025,4.99,92
