payment_id,booking_id,amount
1,1,45.99
2,2,1.99
3,3,0.99
4,4,12.99
5,5,39.99
6,6,7.49
7,7,4.49
8,8,10.99
9,9,49.99
10,10,14.99
11,11,8.99
12,12,6.49
13,13,129.99
14,14,19.99
15,15,49.99
16,16,39.99
17,17,39.99
18,18,3.29
19,19,3.79
20,20,2.99
21,21,54.99
22,22,3.29
23,23,1.99
24,24,1.99
25,25,1.79
26,26,3.49
27,27,49.99
28,28,5.49
29,29,19.99
30,30,14.99
31,31,39.99
32,32,299.99
33,33,59.99
34,34,19.99
35,35,39.99
36,36,4.49
37,37,3.99
38,38,24.99
39,39,199.99
40,40,69.99
41,41,349.99
42,42,3.39
43,43,12.99
44,44,39.99
45,45,1.99
46,46,1.99
47,47,5.49
48,48,6.99
49,49,2.49
50,50,15.49
51,51,5.99
52,52,9.99
53,53,9.99
54,54,14.99
55,55,89.99
56,56,9.99
57,57,59.99
58,58,25.99
59,59,199.99
60,60,19.99
61,61,34.99
62,62,54.99
63,63,19.99
64,64,2.49
65,65,29.99
66,66,3.49
67,67,25.99
68,68,5.49
69,69,59.99
70,70,399.99
71,71,3.49
72,72,3.99
73,73,39.99
74,74,299.99
75,75,39.99
76,76,3.59
77,77,59.99
78,78,3.99
79,79,3.29
80,80,29.99
81,81,2.49
82,82,2.5
83,83,34.99
84,84,149.99
85,85,49.99
86,86,2.99
87,87,4.99
88,88,14.99
89,89,199.99
90,90,14.99
91,91,19.99
92,92,5.99
93,93,129.99
94,94,34.99
95,95,22.99
96,96,19.99
97,97,2.99
98,98,39.99
99,99,199.99
100,100,8.49
101,101,1.5
102,102,39.99
103,103,19.99
104,104,3.49
105,105,39.99
106,106,3.99
107,107,5.99
108,108,1.99
109,109,49.99
110,110,3.89
111,111,7.99
112,112,29.99
113,113,2.29
114,114,3.79
115,115,129.99
116,116,4.49
117,117,4.19
118,118,10.99
119,119,3.99
120,120,59.99
121,121,14.99
122,122,6.99
123,123,6.49
124,124,22.99
125,125,29.99
126,126,24.99
127,127,4.29
128,128,1.5
129,129,34.99
130,130,29.99
131,131,14.99
132,132,5.99
133,133,3.99
134,134,9.99
135,135,4.19
136,136,3.99
137,137,8.99
138,138,14.99
139,139,49.99
140,140,29.99
141,141,4.99
142,142,89.99
143,143,3.99
144,144,2.99
145,145,4.99
146,146,22.99
147,147,14.99
148,148,9.99
149,149,5.49
150,150,39.99
151,151,24.99
152,152,129.99
153,153,59.99
154,154,249.99
155,155,19.99
156,156,4.5
157,157,39.99
158,158,32.99
159,159,3.69
160,160,19.99
161,161,2.49
162,162,2.99
163,163,3.79
164,164,3.49
165,165,22
166,166,2.99
167,167,39.99
168,168,3.49
169,169,3.59
170,170,3.99
171,171,32.99
172,172,5.99
173,173,34.99
174,174,199.99
175,175,34.99
176,176,29.99
177,177,4.49
178,178,39.99
179,179,4.99
180,180,6.89
181,181,49.99
182,182,49.99
183,183,89.99
184,184,4.99
185,185,8.99
186,186,5.99
187,187,4.29
188,188,30
189,189,5.49
190,190,8.99
191,191,99.99
192,192,2.79
193,193,8.99
194,194,24.99
