ticket_id,attraction_id,price,valid_date,ticket_type,available_quantity
1,1,4.99,9/7/2025,general_admission,42
2,2,9.49,4/23/2025,student,67
3,3,19.99,9/21/2025,VIP,5
4,4,2.99,11/3/2025,VIP,53
5,5,19.99,12/17/2025,student,42
6,6,6.49,6/16/2025,senior,61
7,7,49.99,2/20/2026,VIP,21
8,8,29.99,11/12/2025,general_admission,79
9,9,44.99,10/7/2025,VIP,19
10,10,5.49,11/14/2025,senior,4
11,11,34.99,8/11/2025,senior,44
12,12,10.99,9/27/2025,VIP,42
13,13,99.99,4/25/2025,student,85
14,14,4.29,10/20/2025,general_admission,51
15,15,4.99,12/29/2025,student,95
16,16,19.99,1/30/2026,VIP,42
17,17,29.99,9/12/2025,senior,91
18,18,4.49,7/9/2025,general_admission,70
19,19,5.99,10/8/2025,general_admission,77
20,20,69.99,2/18/2026,student,56
21,21,29.99,7/20/2025,student,99
22,22,79.99,10/26/2025,general_admission,54
23,23,4.99,6/2/2025,general_admission,25
24,24,3.59,7/13/2025,general_admission,97
25,25,12.99,8/2/2025,general_admission,64
26,26,3.59,6/25/2025,student,35
27,27,39.99,8/4/2025,senior,84
28,28,29.99,10/23/2025,general_admission,80
29,29,49.99,11/21/2025,VIP,36
30,30,139.99,4/17/2025,student,13
31,31,6.49,12/22/2025,student,39
32,32,3.99,7/8/2025,senior,23
33,33,18.99,11/24/2025,senior,13
34,34,18.99,2/5/2026,student,24
35,35,14.99,8/5/2025,VIP,59
36,36,8.49,5/4/2025,senior,31
37,37,14.99,3/9/2026,student,67
38,38,4.99,4/19/2025,general_admission,25
39,39,49.99,11/22/2025,VIP,14
40,40,4.99,1/4/2026,VIP,95
41,41,5.99,4/14/2025,general_admission,47
42,42,29.99,5/11/2025,VIP,60
43,43,69.99,12/1/2025,general_admission,40
44,44,28.99,5/19/2025,student,25
45,45,249.99,8/6/2025,senior,6
46,46,1.69,2/24/2026,VIP,54
47,47,5.99,6/6/2025,general_admission,19
48,48,2.49,11/19/2025,senior,83
49,49,4.99,11/26/2025,general_admission,58
50,50,3.29,6/10/2025,VIP,60
51,51,14.99,10/19/2025,VIP,21
52,52,1.99,4/7/2025,senior,77
53,53,45,1/8/2026,senior,7
54,54,3.29,10/22/2025,student,4
55,55,6.49,12/16/2025,general_admission,56
56,56,2.99,1/9/2026,VIP,77
57,57,69.99,2/7/2026,senior,2
58,58,39.99,9/25/2025,student,28
59,59,19.99,4/30/2025,VIP,17
60,60,3.99,3/12/2026,general_admission,86
61,61,8.49,12/13/2025,general_admission,58
62,62,5.99,4/25/2025,senior,96
63,63,2.49,10/27/2025,general_admission,36
64,64,54.99,10/27/2025,VIP,56
65,65,5.49,5/7/2025,senior,46
66,66,3.99,3/27/2026,senior,31
67,67,12.99,4/30/2025,student,60
68,68,29.99,5/31/2025,VIP,92
69,69,34.99,1/24/2026,general_admission,68
70,70,39.99,11/11/2025,VIP,97
71,71,4.99,8/14/2025,student,23
72,72,3.99,2/7/2026,senior,85
