booking_id,customer_id,booking_date,booking_status,total_price,payment_id
1,1,2025-01-02,CONFIRMED,40.9,1
2,2,2025-01-03,COMPLETED,41.8,2
3,3,2025-01-04,PAID,42.7,3
4,4,2025-01-05,CONFIRMED,43.6,4
5,5,2025-01-06,COMPLETED,44.5,5
6,6,2025-01-07,PAID,45.4,6
7,7,2025-01-08,CONFIRMED,46.3,7
8,8,2025-01-09,COMPLETED,47.2,8
9,9,2025-01-10,PAID,48.1,9
10,10,2025-01-11,CONFIRMED,49.0,10
11,11,2025-01-12,COMPLETED,49.9,11
12,12,2025-01-13,PAID,50.8,12
13,13,2025-01-14,CONFIRMED,51.7,13
14,14,2025-01-15,COMPLETED,52.6,14
15,15,2025-01-16,PAID,53.5,15
16,16,2025-01-17,CONFIRMED,54.4,16
17,17,2025-01-18,COMPLETED,55.3,17
18,18,2025-01-19,PAID,56.2,18
19,19,2025-01-20,CONFIRMED,57.1,19
20,20,2025-01-21,COMPLETED,58.0,20
21,21,2025-01-22,PAID,58.9,21
22,22,2025-01-23,CONFIRMED,59.8,22
23,23,2025-01-24,COMPLETED,60.7,23
24,24,2025-01-25,PAID,61.6,24
25,25,2025-01-26,CONFIRMED,62.5,25
26,26,2025-01-27,COMPLETED,63.4,26
27,27,2025-01-28,PAID,64.3,27
28,28,2025-01-29,CONFIRMED,65.2,28
29,29,2025-01-30,COMPLETED,66.1,29
30,30,2025-01-31,PAID,67.0,30
31,31,2025-02-01,CONFIRMED,67.9,31
32,32,2025-02-02,COMPLETED,68.8,32
33,33,2025-02-03,PAID,69.7,33
34,34,2025-02-04,CONFIRMED,70.6,34
35,35,2025-02-05,COMPLETED,71.5,35
36,36,2025-02-06,PAID,72.4,36
37,37,2025-02-07,CONFIRMED,73.3,37
38,38,2025-02-08,COMPLETED,74.2,38
39,39,2025-02-09,PAID,75.1,39
40,40,2025-02-10,CONFIRMED,76.0,40
41,41,2025-02-11,COMPLETED,76.9,41
42,42,2025-02-12,PAID,77.8,42
43,43,2025-02-13,CONFIRMED,78.7,43
44,44,2025-02-14,COMPLETED,79.6,44
45,45,2025-02-15,PAID,80.5,45
46,46,2025-02-16,CONFIRMED,81.4,46
47,47,2025-02-17,COMPLETED,82.3,47
48,48,2025-02-18,PAID,83.2,48
49,49,2025-02-19,CONFIRMED,84.1,49
50,50,2025-02-20,COMPLETED,85.0,50
51,51,2025-02-21,PAID,85.9,51
52,52,2025-02-22,CONFIRMED,86.8,52
53,53,2025-02-23,COMPLETED,87.7,53
54,54,2025-02-24,PAID,88.6,54
55,55,2025-02-25,CONFIRMED,89.5,55
56,56,2025-02-26,COMPLETED,90.4,56
57,57,2025-02-27,PAID,91.3,57
58,58,2025-02-28,CONFIRMED,92.2,58
59,59,2025-03-01,COMPLETED,93.1,59
60,60,2025-03-02,PAID,94.0,60
61,61,2025-03-03,CONFIRMED,94.9,61
62,62,2025-03-04,COMPLETED,95.8,62
63,63,2025-03-05,PAID,96.7,63
64,64,2025-03-06,CONFIRMED,97.6,64
65,65,2025-03-07,COMPLETED,98.5,65
66,66,2025-03-08,PAID,99.4,66
67,67,2025-03-09,CONFIRMED,100.3,67
68,68,2025-03-10,COMPLETED,101.2,68
69,69,2025-03-11,PAID,102.1,69
70,70,2025-03-12,CONFIRMED,103.0,70
71,71,2025-03-13,COMPLETED,103.9,71
72,72,2025-03-14,PAID,104.8,72
73,73,2025-03-15,CONFIRMED,105.7,73
74,74,2025-03-16,COMPLETED,106.6,74
75,75,2025-03-17,PAID,107.5,75
76,76,2025-03-18,CONFIRMED,108.4,76
77,77,2025-03-19,COMPLETED,109.3,77
78,78,2025-03-20,PAID,110.2,78
79,79,2025-03-21,CONFIRMED,111.1,79
80,80,2025-03-22,COMPLETED,112.0,80
81,81,2025-03-23,PAID,112.9,81
82,82,2025-03-24,CONFIRMED,113.8,82
83,83,2025-03-25,COMPLETED,114.7,83
84,84,2025-03-26,PAID,115.6,84
85,85,2025-03-27,CONFIRMED,116.5,85
86,86,2025-03-28,COMPLETED,117.4,86
87,87,2025-03-29,PAID,118.3,87
88,88,2025-03-30,CONFIRMED,119.2,88
89,89,2025-03-31,COMPLETED,120.1,89
90,90,2025-04-01,PAID,121.0,90
91,91,2025-04-02,CONFIRMED,121.9,91
92,92,2025-04-03,COMPLETED,122.8,92
93,93,2025-04-04,PAID,123.7,93
94,94,2025-04-05,CONFIRMED,124.6,94
95,95,2025-04-06,COMPLETED,125.5,95
96,96,2025-04-07,PAID,126.4,96
97,97,2025-04-08,CONFIRMED,127.3,97
98,98,2025-04-09,COMPLETED,128.2,98
99,99,2025-04-10,PAID,129.1,99
100,100,2025-04-11,CONFIRMED,130.0,100
101,101,2025-04-12,COMPLETED,130.9,101
102,102,2025-04-13,PAID,131.8,102
103,103,2025-04-14,CONFIRMED,132.7,103
104,104,2025-04-15,COMPLETED,133.6,104
105,105,2025-04-16,PAID,134.5,105
106,106,2025-04-17,CONFIRMED,135.4,106
107,107,2025-04-18,COMPLETED,136.3,107
108,108,2025-04-19,PAID,137.2,108
109,109,2025-04-20,CONFIRMED,138.1,109
110,110,2025-04-21,COMPLETED,139.0,110
111,111,2025-04-22,PAID,139.9,111
112,112,2025-04-23,CONFIRMED,140.8,112
113,113,2025-04-24,COMPLETED,141.7,113
114,114,2025-04-25,PAID,142.6,114
115,115,2025-04-26,CONFIRMED,143.5,115
116,116,2025-04-27,COMPLETED,144.4,116
117,117,2025-04-28,PAID,145.3,117
118,118,2025-04-29,CONFIRMED,146.2,118
119,119,2025-04-30,COMPLETED,147.1,119
120,120,2025-05-01,PAID,148.0,120
121,121,2025-05-02,CONFIRMED,148.9,121
122,122,2025-05-03,COMPLETED,149.8,122
123,123,2025-05-04,PAID,150.7,123
124,124,2025-05-05,CONFIRMED,151.6,124
125,125,2025-05-06,COMPLETED,152.5,125
126,126,2025-05-07,PAID,153.4,126
127,127,2025-05-08,CONFIRMED,154.3,127
128,128,2025-05-09,COMPLETED,155.2,128
129,129,2025-05-10,PAID,156.1,129
130,130,2025-05-11,CONFIRMED,157.0,130
131,131,2025-05-12,COMPLETED,157.9,131
132,132,2025-05-13,PAID,158.8,132
133,133,2025-05-14,CONFIRMED,159.7,133
134,134,2025-05-15,COMPLETED,160.6,134
135,135,2025-05-16,PAID,161.5,135
136,136,2025-05-17,CONFIRMED,162.4,136
137,137,2025-05-18,COMPLETED,163.3,137
138,138,2025-05-19,PAID,164.2,138
139,139,2025-05-20,CONFIRMED,165.1,139
140,140,2025-05-21,COMPLETED,166.0,140
141,141,2025-05-22,PAID,166.9,141
142,142,2025-05-23,CONFIRMED,167.8,142
143,143,2025-05-24,COMPLETED,168.7,143
144,144,2025-05-25,PAID,169.6,144
145,145,2025-05-26,CONFIRMED,170.5,145
146,146,2025-05-27,COMPLETED,171.4,146
147,147,2025-05-28,PAID,172.3,147
148,148,2025-05-29,CONFIRMED,173.2,148
149,149,2025-05-30,COMPLETED,174.1,149
150,150,2025-05-31,PAID,175.0,150
151,151,2025-06-01,CONFIRMED,175.9,151
152,152,2025-06-02,COMPLETED,176.8,152
153,153,2025-06-03,PAID,177.7,153
154,154,2025-06-04,CONFIRMED,178.6,154
155,155,2025-06-05,COMPLETED,179.5,155
156,156,2025-06-06,PAID,180.4,156
157,157,2025-06-07,CONFIRMED,181.3,157
158,158,2025-06-08,COMPLETED,182.2,158
159,159,2025-06-09,PAID,183.1,159
160,160,2025-06-10,CONFIRMED,184.0,160
161,161,2025-06-11,COMPLETED,184.9,161
162,162,2025-06-12,PAID,185.8,162
163,163,2025-06-13,CONFIRMED,186.7,163
164,164,2025-06-14,COMPLETED,187.6,164
165,165,2025-06-15,PAID,188.5,165
166,166,2025-06-16,CONFIRMED,189.4,166
167,167,2025-06-17,COMPLETED,190.3,167
168,168,2025-06-18,PAID,191.2,168
169,169,2025-06-19,CONFIRMED,192.1,169
170,170,2025-06-20,COMPLETED,193.0,170
171,171,2025-06-21,PAID,193.9,171
172,172,2025-06-22,CONFIRMED,194.8,172
173,173,2025-06-23,COMPLETED,195.7,173
174,174,2025-06-24,PAID,196.6,174
175,175,2025-06-25,CONFIRMED,197.5,175
176,176,2025-06-26,COMPLETED,198.4,176
177,177,2025-06-27,PAID,199.3,177
178,178,2025-06-28,CONFIRMED,200.2,178
179,179,2025-06-29,COMPLETED,201.1,179
180,180,2025-06-30,PAID,202.0,180
