payment_id,booking_id,amount
1,1,40.9
2,2,41.8
3,3,42.7
4,4,43.6
5,5,44.5
6,6,45.4
7,7,46.3
8,8,47.2
9,9,48.1
10,10,49.0
11,11,49.9
12,12,50.8
13,13,51.7
14,14,52.6
15,15,53.5
16,16,54.4
17,17,55.3
18,18,56.2
19,19,57.1
20,20,58.0
21,21,58.9
22,22,59.8
23,23,60.7
24,24,61.6
25,25,62.5
26,26,63.4
27,27,64.3
28,28,65.2
29,29,66.1
30,30,67.0
31,31,67.9
32,32,68.8
33,33,69.7
34,34,70.6
35,35,71.5
36,36,72.4
37,37,73.3
38,38,74.2
39,39,75.1
40,40,76.0
41,41,76.9
42,42,77.8
43,43,78.7
44,44,79.6
45,45,80.5
46,46,81.4
47,47,82.3
48,48,83.2
49,49,84.1
50,50,85.0
51,51,85.9
52,52,86.8
53,53,87.7
54,54,88.6
55,55,89.5
56,56,90.4
57,57,91.3
58,58,92.2
59,59,93.1
60,60,94.0
61,61,94.9
62,62,95.8
63,63,96.7
64,64,97.6
65,65,98.5
66,66,99.4
67,67,100.3
68,68,101.2
69,69,102.1
70,70,103.0
71,71,103.9
72,72,104.8
73,73,105.7
74,74,106.6
75,75,107.5
76,76,108.4
77,77,109.3
78,78,110.2
79,79,111.1
80,80,112.0
81,81,112.9
82,82,113.8
83,83,114.7
84,84,115.6
85,85,116.5
86,86,117.4
87,87,118.3
88,88,119.2
89,89,120.1
90,90,121.0
91,91,121.9
92,92,122.8
93,93,123.7
94,94,124.6
95,95,125.5
96,96,126.4
97,97,127.3
98,98,128.2
99,99,129.1
100,100,130.0
101,101,130.9
102,102,131.8
103,103,132.7
104,104,133.6
105,105,134.5
106,106,135.4
107,107,136.3
108,108,137.2
109,109,138.1
110,110,139.0
111,111,139.9
112,112,140.8
113,113,141.7
114,114,142.6
115,115,143.5
116,116,144.4
117,117,145.3
118,118,146.2
119,119,147.1
120,120,148.0
121,121,148.9
122,122,149.8
123,123,150.7
124,124,151.6
125,125,152.5
126,126,153.4
127,127,154.3
128,128,155.2
129,129,156.1
130,130,157.0
131,131,157.9
132,132,158.8
133,133,159.7
134,134,160.6
135,135,161.5
136,136,162.4
137,137,163.3
138,138,164.2
139,139,165.1
140,140,166.0
141,141,166.9
142,142,167.8
143,143,168.7
144,144,169.6
145,145,170.5
146,146,171.4
147,147,172.3
148,148,173.2
149,149,174.1
150,150,175.0
151,151,175.9
152,152,176.8
153,153,177.7
154,154,178.6
155,155,179.5
156,156,180.4
157,157,181.3
158,158,182.2
159,159,183.1
160,160,184.0
161,161,184.9
162,162,185.8
163,163,186.7
164,164,187.6
165,165,188.5
166,166,189.4
167,167,190.3
168,168,191.2
169,169,192.1
170,170,193.0
171,171,193.9
172,172,194.8
173,173,195.7
174,174,196.6
175,175,197.5
176,176,198.4
177,177,199.3
178,178,200.2
179,179,201.1
180,180,202.0
181,181,202.9
182,182,203.8
183,183,204.7
184,184,205.6
185,185,206.5
186,186,207.4
187,187,208.3
188,188,209.2
189,189,210.1
190,190,211.0
191,191,211.9
192,192,212.8
193,193,213.7
194,194,214.6
195,195,215.5
196,196,216.4
197,197,217.3
198,198,218.2
199,199,219.1
200,200,220.0
201,201,220.9
202,202,221.8
203,203,222.7
204,204,223.6
205,205,224.5
206,206,225.4
207,207,226.3
208,208,227.2
209,209,228.1
210,210,229.0
211,211,229.9
212,212,230.8
213,213,231.7
214,214,232.6
215,215,233.5
216,216,234.4
217,217,235.3
218,218,236.2
219,219,237.1
220,220,238.0
221,221,238.9
222,222,239.8
223,223,240.7
224,224,241.6
225,225,242.5
226,226,243.4
227,227,244.3
228,228,245.2
229,229,246.1
230,230,247.0
231,231,247.9
232,232,248.8
233,233,249.7
234,234,250.6
235,235,251.5
236,236,252.4
237,237,253.3
238,238,254.2
239,239,255.1
240,240,256.0
241,241,256.9
242,242,257.8
243,243,258.7
244,244,259.6
245,245,260.5
246,246,261.4
247,247,262.3
248,248,263.2
249,249,264.1
250,250,265.0
251,251,265.9
252,252,266.8
253,253,267.7
254,254,268.6
255,255,269.5
256,256,270.4
257,257,271.3
258,258,272.2
259,259,273.1
260,260,274.0
261,261,274.9
262,262,275.8
263,263,276.7
264,264,277.6
265,265,278.5
266,266,279.4
267,267,280.3
268,268,281.2
269,269,282.1
270,270,283.0
271,271,283.9
272,272,284.8
273,273,285.7
274,274,286.6
275,275,287.5
276,276,288.4
277,277,289.3
278,278,290.2
279,279,291.1
280,280,292.0
281,281,292.9
282,282,293.8
283,283,294.7
284,284,295.6
285,285,296.5
286,286,297.4
287,287,298.3
288,288,299.2
289,289,300.1
290,290,301.0
291,291,301.9
292,292,302.8
293,293,303.7
294,294,304.6
295,295,305.5
296,296,306.4
297,297,307.3
298,298,308.2
299,299,309.1
300,300,310.0
301,301,310.9
302,302,311.8
303,303,312.7
304,304,313.6
305,305,314.5
306,306,315.4
307,307,316.3
308,308,317.2
309,309,318.1
310,310,319.0
311,311,319.9
312,312,320.8
313,313,321.7
314,314,322.6
