review_id,customer_id,attraction_id,rating,comment,review_date
1,1,1,3.1,Review text for attraction 1,2026-01-02
2,2,2,3.2,Review text for attraction 2,2026-01-03
3,3,3,3.3,Review text for attraction 3,2026-01-04
4,4,4,3.4,Review text for attraction 4,2026-01-05
5,5,5,3.5,Review text for attraction 5,2026-01-06
6,6,6,3.6,Review text for attraction 6,2026-01-07
7,7,7,3.7,Review text for attraction 7,2026-01-08
8,8,8,3.8,Review text for attraction 8,2026-01-09
9,9,9,3.9,Review text for attraction 9,2026-01-10
10,10,10,4.0,Review text for attraction 10,2026-01-11
11,11,11,4.1,Review text for attraction 11,2026-01-12
12,12,12,4.2,Review text for attraction 12,2026-01-13
13,13,13,4.3,Review text for attraction 13,2026-01-14
14,14,14,4.4,Review text for attraction 14,2026-01-15
15,15,15,4.5,Review text for attraction 15,2026-01-16
16,16,16,4.6,Review text for attraction 16,2026-01-17
17,17,17,4.7,Review text for attraction 17,2026-01-18
18,18,18,4.8,Review text for attraction 18,2026-01-19
19,19,19,4.9,Review text for attraction 19,2026-01-20
20,20,20,3.0,Review text for attraction 20,2026-01-21
21,21,21,3.1,Review text for attraction 21,2026-01-22
22,22,22,3.2,Review text for attraction 22,2026-01-23
23,23,23,3.3,Review text for attraction 23,2026-01-24
24,24,24,3.4,Review text for attraction 24,2026-01-25
25,25,25,3.5,Review text for attraction 25,2026-01-26
26,26,26,3.6,Review text for attraction 26,2026-01-27
27,27,27,3.7,Review text for attraction 27,2026-01-28
28,28,28,3.8,Review text for attraction 28,2026-01-29
29,29,29,3.9,Review text for attraction 29,2026-01-30
30,30,30,4.0,Review text for attraction 30,2026-01-31
31,31,31,4.1,Review text for attraction 31,2026-02-01
32,32,32,4.2,Review text for attraction 32,2026-02-02
33,33,33,4.3,Review text for attraction 33,2026-02-03
34,34,34,4.4,Review text for attraction 34,2026-02-04
35,35,35,4.5,Review text for attraction 35,2026-02-05
36,36,36,4.6,Review text for attraction 36,2026-02-06
37,37,37,4.7,Review text for attraction 37,2026-02-07
38,38,38,4.8,Review text for attraction 38,2026-02-08
39,39,39,4.9,Review text for attraction 39,2026-02-09
40,40,40,3.0,Review text for attraction 40,2026-02-10
41,41,41,3.1,Review text for attraction 41,2026-02-11
42,42,42,3.2,Review text for attraction 42,2026-02-12
43,43,43,3.3,Review text for attraction 43,2026-02-13
44,44,44,3.4,Review text for attraction 44,2026-02-14
45,45,45,3.5,Review text for attraction 45,2026-02-15
46,46,46,3.6,Review text for attraction 46,2026-02-16
47,47,47,3.7,Review text for attraction 47,2026-02-17
48,48,48,3.8,Review text for attraction 48,2026-02-18
49,49,49,3.9,Review text for attraction 49,2026-02-19
50,50,50,4.0,Review text for attraction 50,2026-02-20
51,51,51,4.1,Review text for attraction 51,2026-02-21
52,52,52,4.2,Review text for attraction 52,2026-02-22
53,53,53,4.3,Review text for attraction 53,2026-02-23
54,54,54,4.4,Review text for attraction 54,2026-02-24
55,55,55,4.5,Review text for attraction 55,2026-02-25
56,56,56,4.6,Review text for attraction 56,2026-02-26
57,57,57,4.7,Review text for attraction 57,2026-02-27
58,58,58,4.8,Review text for attraction 58,2026-02-28
59,59,59,4.9,Review text for attraction 59,2026-03-01
60,60,60,3.0,Review text for attraction 60,2026-03-02
61,61,61,3.1,Review text for attraction 61,2026-03-03
62,62,62,3.2,Review text for attraction 62,2026-03-04
63,63,63,3.3,Review text for attraction 63,2026-03-05
64,64,64,3.4,Review text for attraction 64,2026-03-06
65,65,65,3.5,Review text for attraction 65,2026-03-07
66,66,66,3.6,Review text for attraction 66,2026-03-08
67,67,67,3.7,Review text for attraction 67,2026-03-09
68,68,68,3.8,Review text for attraction 68,2026-03-10
69,69,69,3.9,Review text for attraction 69,2026-03-11
70,70,70,4.0,Review text for attraction 70,2026-03-12
71,71,71,4.1,Review text for attraction 71,2026-03-13
72,72,72,4.2,Review text for attraction 72,2026-03-14
73,73,73,4.3,Review text for attraction 73,2026-03-15
74,74,74,4.4,Review text for attraction 74,2026-03-16
75,75,75,4.5,Review text for attraction 75,2026-03-17
76,76,76,4.6,Review text for attraction 76,2026-03-18
77,77,77,4.7,Review text for attraction 77,2026-03-19
78,78,78,4.8,Review text for attraction 78,2026-03-20
79,79,79,4.9,Review text for attraction 79,2026-03-21
80,80,80,3.0,Review text for attraction 80,2026-03-22
81,81,81,3.1,Review text for attraction 81,2026-03-23
82,82,82,3.2,Review text for attraction 82,2026-03-24
83,83,83,3.3,Review text for attraction 83,2026-03-25
84,84,84,3.4,Review text for attraction 84,2026-03-26
85,85,85,3.5,Review text for attraction 85,2026-03-27
86,86,86,3.6,Review text for attraction 86,2026-03-28
87,87,87,3.7,Review text for attraction 87,2026-03-29
88,88,88,3.8,Review text for attraction 88,2026-03-30
89,89,89,3.9,Review text for attraction 89,2026-03-31
90,90,90,4.0,Review text for attraction 90,2026-01-01
91,91,91,4.1,Review text for attraction 91,2026-01-02
92,92,92,4.2,Review text for attraction 92,2026-01-03
93,93,93,4.3,Review text for attraction 93,2026-01-04
94,94,94,4.4,Review text for attraction 94,2026-01-05
95,95,95,4.5,Review text for attraction 95,2026-01-06
96,96,96,4.6,Review text for attraction 96,2026-01-07
97,97,97,4.7,Review text for attraction 97,2026-01-08
98,98,98,4.8,Review text for attraction 98,2026-01-09
99,99,99,4.9,Review text for attraction 99,2026-01-10
100,100,100,3.0,Review text for attraction 100,2026-01-11
101,101,101,3.1,Review text for attraction 101,2026-01-12
102,102,102,3.2,Review text for attraction 102,2026-01-13
103,103,103,3.3,Review text for attraction 103,2026-01-14
104,104,104,3.4,Review text for attraction 104,2026-01-15
105,105,105,3.5,Review text for attraction 105,2026-01-16
106,106,106,3.6,Review text for attraction 106,2026-01-17
107,107,107,3.7,Review text for attraction 107,2026-01-18
108,108,108,3.8,Review text for attraction 108,2026-01-19
109,109,109,3.9,Review text for attraction 109,2026-01-20
110,110,110,4.0,Review text for attraction 110,2026-01-21
111,111,111,4.1,Review text for attraction 111,2026-01-22
112,112,112,4.2,Review text for attraction 112,2026-01-23
113,113,113,4.3,Review text for attraction 113,2026-01-24
114,114,114,4.4,Review text for attraction 114,2026-01-25
115,115,115,4.5,Review text for attraction 115,2026-01-26
116,116,116,4.6,Review text for attraction 116,2026-01-27
117,117,117,4.7,Review text for attraction 117,2026-01-28
118,118,118,4.8,Review text for attraction 118,2026-01-29
119,119,119,4.9,Review text for attraction 119,2026-01-30
120,120,120,3.0,Review text for attraction 120,2026-01-31
121,121,121,3.1,Review text for attraction 121,2026-02-01
122,122,122,3.2,Review text for attraction 122,2026-02-02
123,123,123,3.3,Review text for attraction 123,2026-02-03
124,124,124,3.4,Review text for attraction 124,2026-02-04
125,125,125,3.5,Review text for attraction 125,2026-02-05
126,126,126,3.6,Review text for attraction 126,2026-02-06
127,127,127,3.7,Review text for attraction 127,2026-02-07
128,128,128,3.8,Review text for attraction 128,2026-02-08
129,129,129,3.9,Review text for attraction 129,2026-02-09
130,130,130,4.0,Review text for attraction 130,2026-02-10
131,131,131,4.1,Review text for attraction 131,2026-02-11
132,132,132,4.2,Review text for attraction 132,2026-02-12
133,133,133,4.3,Review text for attraction 133,2026-02-13
134,134,134,4.4,Review text for attraction 134,2026-02-14
135,135,135,4.5,Review text for attraction 135,2026-02-15
136,136,136,4.6,Review text for attraction 136,2026-02-16
137,137,137,4.7,Review text for attraction 137,2026-02-17
138,138,138,4.8,Review text for attraction 138,2026-02-18
139,139,139,4.9,Review text for attraction 139,2026-02-19
140,140,140,3.0,Review text for attraction 140,2026-02-20
141,141,141,3.1,Review text for attraction 141,2026-02-21
142,142,142,3.2,Review text for attraction 142,2026-02-22
143,143,143,3.3,Review text for attraction 143,2026-02-23
144,144,144,3.4,Review text for attraction 144,2026-02-24
145,145,145,3.5,Review text for attraction 145,2026-02-25
146,146,146,3.6,Review text for attraction 146,2026-02-26
147,147,147,3.7,Review text for attraction 147,2026-02-27
148,148,148,3.8,Review text for attraction 148,2026-02-28
149,149,149,3.9,Review text for attraction 149,2026-03-01
150,150,150,4.0,Review text for attraction 150,2026-03-02
151,151,151,4.1,Review text for attraction 151,2026-03-03
152,152,152,4.2,Review text for attraction 152,2026-03-04
153,153,153,4.3,Review text for attraction 153,2026-03-05
154,154,154,4.4,Review text for attraction 154,2026-03-06
155,155,155,4.5,Review text for attraction 155,2026-03-07
156,156,156,4.6,Review text for attraction 156,2026-03-08
157,157,157,4.7,Review text for attraction 157,2026-03-09
158,158,158,4.8,Review text for attraction 158,2026-03-10
159,159,159,4.9,Review text for attraction 159,2026-03-11
160,160,160,3.0,Review text for attraction 160,2026-03-12
161,161,161,3.1,Review text for attraction 161,2026-03-13
162,162,162,3.2,Review text for attraction 162,2026-03-14
163,163,163,3.3,Review text for attraction 163,2026-03-15
164,164,164,3.4,Review text for attraction 164,2026-03-16
165,165,165,3.5,Review text for attraction 165,2026-03-17
166,166,166,3.6,Review text for attraction 166,2026-03-18
167,167,167,3.7,Review text for attraction 167,2026-03-19
168,168,168,3.8,Review text for attraction 168,2026-03-20
169,169,169,3.9,Review text for attraction 169,2026-03-21
170,170,170,4.0,Review text for attraction 170,2026-03-22
171,171,171,4.1,Review text for attraction 171,2026-03-23
172,172,172,4.2,Review text for attraction 172,2026-03-24
173,173,173,4.3,Review text for attraction 173,2026-03-25
174,174,174,4.4,Review text for attraction 174,2026-03-26
175,175,175,4.5,Review text for attraction 175,2026-03-27
176,176,176,4.6,Review text for attraction 176,2026-03-28
177,177,177,4.7,Review text for attraction 177,2026-03-29
178,178,178,4.8,Review text for attraction 178,2026-03-30
179,179,179,4.9,Review text for attraction 179,2026-03-31
180,180,180,3.0,Review text for attraction 180,2026-01-01
181,181,181,3.1,Review text for attraction 181,2026-01-02
182,182,182,3.2,Review text for attraction 182,2026-01-03
183,183,183,3.3,Review text for attraction 183,2026-01-04
184,184,184,3.4,Review text for attraction 184,2026-01-05
185,185,185,3.5,Review text for attraction 185,2026-01-06
186,186,186,3.6,Review text for attraction 186,2026-01-07
187,187,187,3.7,Review text for attraction 187,2026-01-08
188,188,188,3.8,Review text for attraction 188,2026-01-09
189,189,189,3.9,Review text for attraction 189,2026-01-10
190,190,190,4.0,Review text for attraction 190,2026-01-11
191,191,191,4.1,Review text for attraction 191,2026-01-12
192,192,192,4.2,Review text for attraction 192,2026-01-13
193,193,193,4.3,Review text for attraction 193,2026-01-14
194,194,194,4.4,Review text for attraction 194,2026-01-15
195,195,195,4.5,Review text for attraction 195,2026-01-16
196,196,196,4.6,Review text for attraction 196,2026-01-17
197,197,197,4.7,Review text for attraction 197,2026-01-18
198,198,198,4.8,Review text for attraction 198,2026-01-19
199,199,199,4.9,Review text for attraction 199,2026-01-20
200,200,200,3.0,Review text for attraction 200,2026-01-21
201,201,201,3.1,Review text for attraction 201,2026-01-22
202,202,202,3.2,Review text for attraction 202,2026-01-23
203,203,203,3.3,Review text for attraction 203,2026-01-24
204,204,204,3.4,Review text for attraction 204,2026-01-25
205,205,205,3.5,Review text for attraction 205,2026-01-26
206,206,206,3.6,Review text for attraction 206,2026-01-27
207,207,207,3.7,Review text for attraction 207,2026-01-28
208,208,208,3.8,Review text for attraction 208,2026-01-29
209,209,209,3.9,Review text for attraction 209,2026-01-30
210,210,210,4.0,Review text for attraction 210,2026-01-31
211,211,211,4.1,Review text for attraction 211,2026-02-01
